Date,Open,High,Low,Close,Adj Close,Volume
2021-12-08,78300.0,78600.0,77100.0,77400.0,76655.8046875,21558340
2021-12-09,77400.0,78200.0,77000.0,78200.0,77448.109375,21604528
2021-12-10,77400.0,77600.0,76800.0,76900.0,76160.609375,9155219
2021-12-13,77200.0,78300.0,76500.0,76800.0,76061.578125,15038750
2021-12-14,76500.0,77200.0,76200.0,77000.0,76259.6484375,10976660
2021-12-15,76400.0,77600.0,76300.0,77600.0,76853.8828125,9584939
2021-12-16,78500.0,78500.0,77400.0,77800.0,77051.953125,11996128
2021-12-17,76800.0,78000.0,76800.0,78000.0,77250.0390625,13108479
2021-12-20,77600.0,77800.0,76800.0,77100.0,76358.6875,11264375
2021-12-21,77900.0,78300.0,77500.0,78100.0,77349.0703125,14245298
2021-12-22,78900.0,79400.0,78800.0,79400.0,78636.5703125,17105892
2021-12-23,79800.0,80000.0,79300.0,79900.0,79131.765625,13577498
2021-12-24,80200.0,80800.0,80200.0,80500.0,79725.9921875,12086380
2021-12-27,80600.0,80600.0,79800.0,80200.0,79428.8828125,10783368
2021-12-28,80200.0,80400.0,79700.0,80300.0,79527.921875,18226325
2021-12-29,80200.0,80200.0,78500.0,78800.0,78394.7734375,19794795
2021-12-30,78900.0,79500.0,78100.0,78300.0,77897.34375,14236700
2022-01-04,78800.0,79200.0,78300.0,78700.0,78295.2890625,12427416
2022-01-05,78800.0,79000.0,76400.0,77400.0,77001.9765625,25470640
2022-01-06,76700.0,77600.0,76600.0,76900.0,76504.546875,12931954
2022-01-07,78100.0,78400.0,77400.0,78300.0,77897.34375,15163757
2022-01-10,78100.0,78100.0,77100.0,78000.0,77598.890625,9947422
2022-01-11,78400.0,79000.0,78000.0,78900.0,78494.2578125,13221123
2022-01-12,79500.0,79600.0,78600.0,78900.0,78494.2578125,11000502
2022-01-13,79300.0,79300.0,77900.0,77900.0,77499.40625,13889401
2022-01-14,77700.0,78100.0,77100.0,77300.0,76902.4921875,10096725
2022-01-17,77600.0,77800.0,76900.0,77500.0,77101.4609375,8785122
2022-01-18,77600.0,77800.0,76600.0,77000.0,76604.03125,9592788
2022-01-19,76500.0,76900.0,76100.0,76300.0,75907.6328125,10598290
2022-01-20,76200.0,76700.0,75900.0,76500.0,76106.6015625,9708168
2022-01-21,75800.0,75800.0,74700.0,75600.0,75211.234375,15774888
2022-01-24,75400.0,75800.0,74700.0,75100.0,74713.8046875,13691134
2022-01-25,74800.0,75000.0,73200.0,74000.0,73619.4609375,17766704
2022-01-26,74000.0,74000.0,74000.0,74000.0,73619.4609375,0
2022-01-27,73800.0,74000.0,71300.0,71300.0,70933.34375,22274777
2022-01-28,71300.0,73700.0,71200.0,73300.0,72923.0546875,21367447
2022-02-03,74900.0,74900.0,73300.0,73300.0,72923.0546875,17744721
2022-02-04,74300.0,74600.0,73400.0,74000.0,73619.4609375,12730034
2022-02-07,73500.0,73600.0,72400.0,73000.0,72624.6015625,14240838
2022-02-08,73000.0,73000.0,73000.0,73000.0,72624.6015625,0
2022-02-09,73000.0,73000.0,73000.0,73000.0,72624.6015625,0
2022-02-10,75600.0,75800.0,74700.0,75400.0,75012.2578125,17746033
2022-02-11,75000.0,75500.0,74600.0,74900.0,74514.828125,12205407
2022-02-14,74400.0,74500.0,73100.0,73700.0,73321.0,13993255
2022-02-15,74100.0,74200.0,73100.0,73700.0,73321.0,9320365
2022-02-16,74600.0,74900.0,74200.0,74800.0,74415.34375,10767386
2022-02-17,75000.0,75600.0,74500.0,75000.0,74614.3125,13605382
2022-02-18,74600.0,74800.0,73700.0,74300.0,73917.9140625,10122226
2022-02-21,74300.0,74300.0,74300.0,74300.0,73917.9140625,0
2022-02-22,74300.0,74300.0,74300.0,74300.0,73917.9140625,0
2022-02-23,74300.0,74300.0,74300.0,74300.0,73917.9140625,0
2022-02-24,72300.0,72300.0,71300.0,71500.0,71132.3125,15759283
2022-02-25,72100.0,72600.0,71900.0,71900.0,71530.2578125,13168484
2022-02-28,71900.0,71900.0,71900.0,71900.0,71530.2578125,0
2022-03-02,72300.0,72400.0,71500.0,71700.0,71331.2890625,12481430
2022-03-03,72300.0,73100.0,72200.0,72900.0,72525.1171875,13232638
2022-03-04,72900.0,72900.0,72900.0,72900.0,72525.1171875,0
2022-03-07,70000.0,70600.0,69900.0,70100.0,69739.515625,18617138
2022-03-08,68800.0,70000.0,68700.0,69500.0,69142.6015625,15828269
2022-03-10,69500.0,69500.0,69500.0,69500.0,69142.6015625,0
2022-03-11,70500.0,70700.0,69700.0,70000.0,69640.03125,15787655
2022-03-14,70000.0,70200.0,69600.0,70200.0,69839.0,9040993
2022-03-15,70200.0,70200.0,70200.0,70200.0,69839.0,0
2022-03-16,70200.0,70500.0,69700.0,70400.0,70037.96875,10175750
2022-03-17,70400.0,70400.0,70400.0,70400.0,70037.96875,0
2022-03-18,70600.0,70900.0,70200.0,70700.0,70336.4296875,14410038
2022-03-21,70900.0,71000.0,69900.0,69900.0,69540.5390625,11169002
2022-03-22,69900.0,70500.0,69900.0,70300.0,69938.484375,9402666
2022-03-23,70600.0,71200.0,70300.0,70500.0,70137.4609375,12398025
2022-03-24,69600.0,70300.0,69600.0,69800.0,69441.0546875,37943357
2022-03-25,70100.0,70200.0,69600.0,69800.0,69441.0546875,12986010
2022-03-28,69500.0,69900.0,69200.0,69700.0,69341.5703125,12619289
2022-03-29,70000.0,70300.0,69800.0,70200.0,69839.0,13686208
2022-03-30,70300.0,70500.0,69800.0,69900.0,69900.0,12670187
2022-03-31,69900.0,70200.0,69600.0,69600.0,69600.0,12510366
2022-04-01,69500.0,69500.0,69000.0,69100.0,69100.0,15916846
2022-04-04,68900.0,69300.0,68600.0,69300.0,69300.0,11107905
2022-04-05,69400.0,69600.0,69100.0,69200.0,69200.0,8467248
2022-04-06,68600.0,68800.0,68500.0,68500.0,68500.0,15517308
2022-04-07,68500.0,68500.0,68000.0,68000.0,68000.0,20683327
2022-04-08,68100.0,68300.0,67700.0,67800.0,67800.0,15453191
2022-04-11,67800.0,68100.0,67400.0,67900.0,67900.0,12263735
2022-04-12,67600.0,67700.0,67000.0,67000.0,67000.0,13924389
2022-04-13,67300.0,69000.0,67200.0,68700.0,68700.0,17378619
2022-04-14,68700.0,68700.0,67500.0,67500.0,67500.0,16409494
2022-04-15,67200.0,67300.0,66500.0,66600.0,66600.0,13176415
2022-04-18,66500.0,67100.0,66100.0,66700.0,66700.0,10119203
